1.1 Arbeitslose und Stellensuchende nach verschiedenen Kriterien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monat,,,Januar 2017,,,,,,Februar 2017,,,,,,März 2017,,,,,,April 2017,,,,,,Mai 2017,,,,,,Juni 2017,,,,,,Juli 2017,,,,,,August 2017,,,,,,September 2017,,,
,Nationalität,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,
Kanton,"Altersklassen 15-24, 25-49, 50 und mehr",1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
,,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr
,Metriken,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose
Zürich,,1'194,11'108,2'758,2'606,9'721,5'000,1'185,10'856,2'746,2'438,9'481,4'913,1'147,10'587,2'648,2'282,9'251,4'926,1'009,10'011,2'552,2'094,9'019,4'857,936,9'702,2'459,1'962,8'785,4'780,904,9'470,2'350,1'887,8'602,4'712,1'084,9'201,2'261,2'246,8'581,4'619,1'049,8'893,2'209,2'451,8'407,4'505,1'015,8'846,2'250,2'405,8'207,4'502
Bern,,624,4'674,1'372,1'700,5'380,3'204,631,4'574,1'357,1'653,5'311,3'212,602,4'345,1'311,1'494,5'161,3'122,555,4'190,1'259,1'366,4'917,3'035,510,3'814,1'170,1'209,4'760,2'934,490,3'511,1'064,1'089,4'591,2'845,516,3'383,1'012,1'277,4'591,2'854,605,3'324,984,1'517,4'543,2'856,597,3'316,987,1'406,4'457,2'895
Luzern,,273,1'481,467,539,1'410,815,256,1'385,453,525,1'353,836,238,1'310,421,452,1'272,800,209,1'286,394,421,1'200,805,204,1'187,369,380,1'146,796,194,1'120,342,356,1'114,758,196,1'077,318,402,1'126,756,232,1'052,322,507,1'145,734,217,1'053,323,447,1'106,739
Uri,,11,122,42,30,52,40,14,108,39,29,50,36,12,95,41,26,47,35,14,78,43,23,39,31,9,64,31,18,42,32,6,46,23,12,43,29,8,41,20,8,29,23,6,33,18,12,31,23,6,29,18,9,29,21
Schwyz,,76,524,235,120,458,381,67,512,230,121,448,388,74,466,232,100,411,387,65,434,211,88,407,375,44,409,198,69,391,351,41,383,201,73,374,339,49,393,188,76,398,343,74,380,177,112,389,334,67,379,171,118,380,340
