"Kanton","Monat","Januar 2017","Januar 2017","Januar 2017","Februar 2017","Februar 2017","Februar 2017","März 2017","März 2017","März 2017","April 2017","April 2017","April 2017","Mai 2017","Mai 2017","Mai 2017","Juni 2017","Juni 2017","Juni 2017","Juli 2017","Juli 2017","Juli 2017","August 2017","August 2017","August 2017","September 2017","September 2017","September 2017","Oktober 2017","Oktober 2017","Oktober 2017","Gesamt","Gesamt","Gesamt"
 ,"Metriken","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Nicht arbeitslose Stellensuchende"
"Zürich",,"3.9","32'387","6'953","3.9","31'619","7'129","3.8","30'841","7'210","3.6","29'542","7'068","3.5","28'624","7'160","3.4","27'925","7'209","3.4","27'992","7'120","3.4","27'514","7'028","3.3","27'225","6'931","0","0","0","3.2","263'669","63'808"
"Bern",,"3","16'954","4'632","3","16'738","4'629","2.9","16'035","4'854","2.7","15'322","4'560","2.6","14'397","4'622","2.4","13'590","4'640","2.4","13'633","4'809","2.5","13'829","4'564","2.4","13'658","4'727","0","0","0","2.4","134'156","42'037"
"Luzern",,"2.2","4'985","2'965","2.2","4'808","3'049","2","4'493","3'081","1.9","4'315","2'988","1.8","4'082","3'009","1.7","3'884","3'030","1.7","3'875","2'930","1.8","3'992","2'861","1.7","3'885","2'871","0","0","0","1.7","38'319","26'784"
"Uri",,"1.5","297","167","1.4","276","181","1.3","256","175","1.2","228","166","1","196","163","0.8","159","135","0.7","129","136","0.6","123","144","0.6","112","145","0","0","0","0.9","1'776","1'412"
"Schwyz",,"2","1'794","787","2","1'766","802","1.9","1'670","818","1.8","1'580","809","1.7","1'462","800","1.6","1'411","829","1.7","1'447","785","1.7","1'466","774","1.7","1'455","774","0","0","0","1.6","14'051","7'178"
"Obwalden",,"1","217","161","1.1","228","175","1","217","159","1","205","159","0.8","174","165","0.8","167","155","0.8","176","134","0.8","164","158","0.7","153","166","0","0","0","0.8","1'701","1'432"
"Nidwalden",,"1.3","305","230","1.3","306","245","1.2","297","252","1.1","269","234","1.1","256","220","1","252","197","1","241","193","1","247","178","1","248","188","0","0","0","1","2'421","1'937"
"Glarus",,"2.5","567","309","2.6","576","315","2.4","551","315","2.3","517","290","2.1","484","273","2","441","294","1.8","415","290","1.9","435","295","1.8","416","297","0","0","0","2","4'402","2'678"
"Zug",,"2.6","1'756","1'075","2.6","1'784","1'095","2.5","1'729","1'138","2.5","1'704","1'097","2.4","1'652","1'095","2.3","1'576","1'128","2.3","1'574","1'133","2.4","1'604","1'059","2.3","1'543","1'072","0","0","0","2.2","14'922","9'892"
"Freiburg",,"3.2","5'215","3'982","2.9","4'811","4'130","2.7","4'499","4'123","2.7","4'362","3'855","2.4","3'981","3'994","2.4","3'892","3'957","2.7","4'372","3'383","2.8","4'667","3'222","2.7","4'466","3'371","0","0","0","2.5","40'265","34'017"
"Solothurn",,"3.2","4'744","2'565","3.2","4'602","2'658","3","4'420","2'757","2.9","4'281","2'639","2.8","4'074","2'732","2.6","3'860","2'810","2.7","3'900","2'846","2.7","3'953","2'704","2.6","3'801","2'827","0","0","0","2.6","37'635","24'538"
