"Kanton","Monat","Januar 2017","Januar 2017","Januar 2017","Februar 2017","Februar 2017","Februar 2017","März 2017","März 2017","März 2017","April 2017","April 2017","April 2017","Mai 2017","Mai 2017","Mai 2017","Juni 2017","Juni 2017","Juni 2017","Juli 2017","Juli 2017","Juli 2017","August 2017","August 2017","August 2017","September 2017","September 2017","September 2017","Oktober 2017","Oktober 2017","Oktober 2017","Gesamt","Gesamt","Gesamt"
 ,"Metriken","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende"
"Zürich",,"3.9","32'387","39'340","3.9","31'619","38'748","3.8","30'841","38'051","3.6","29'542","36'610","3.5","28'624","35'784","3.4","27'925","35'134","3.4","27'992","35'112","3.4","27'514","34'542","3.3","27'225","34'156","0","0","0","3.2","263'669","327'477"
"Bern",,"3","16'954","21'586","3","16'738","21'367","2.9","16'035","20'889","2.7","15'322","19'882","2.6","14'397","19'019","2.4","13'590","18'230","2.4","13'633","18'442","2.5","13'829","18'393","2.4","13'658","18'385","0","0","0","2.4","134'156","176'193"
"Luzern",,"2.2","4'985","7'950","2.2","4'808","7'857","2","4'493","7'574","1.9","4'315","7'303","1.8","4'082","7'091","1.7","3'884","6'914","1.7","3'875","6'805","1.8","3'992","6'853","1.7","3'885","6'756","0","0","0","1.7","38'319","65'103"
"Uri",,"1.5","297","464","1.4","276","457","1.3","256","431","1.2","228","394","1","196","359","0.8","159","294","0.7","129","265","0.6","123","267","0.6","112","257","0","0","0","0.9","1'776","3'188"
"Schwyz",,"2","1'794","2'581","2","1'766","2'568","1.9","1'670","2'488","1.8","1'580","2'389","1.7","1'462","2'262","1.6","1'411","2'240","1.7","1'447","2'232","1.7","1'466","2'240","1.7","1'455","2'229","0","0","0","1.6","14'051","21'229"
"Obwalden",,"1","217","378","1.1","228","403","1","217","376","1","205","364","0.8","174","339","0.8","167","322","0.8","176","310","0.8","164","322","0.7","153","319","0","0","0","0.8","1'701","3'133"
"Nidwalden",,"1.3","305","535","1.3","306","551","1.2","297","549","1.1","269","503","1.1","256","476","1","252","449","1","241","434","1","247","425","1","248","436","0","0","0","1","2'421","4'358"
"Glarus",,"2.5","567","876","2.6","576","891","2.4","551","866","2.3","517","807","2.1","484","757","2","441","735","1.8","415","705","1.9","435","730","1.8","416","713","0","0","0","2","4'402","7'080"
"Zug",,"2.6","1'756","2'831","2.6","1'784","2'879","2.5","1'729","2'867","2.5","1'704","2'801","2.4","1'652","2'747","2.3","1'576","2'704","2.3","1'574","2'707","2.4","1'604","2'663","2.3","1'543","2'615","0","0","0","2.2","14'922","24'814"
"Freiburg",,"3.2","5'215","9'197","2.9","4'811","8'941","2.7","4'499","8'622","2.7","4'362","8'217","2.4","3'981","7'975","2.4","3'892","7'849","2.7","4'372","7'755","2.8","4'667","7'889","2.7","4'466","7'837","0","0","0","2.5","40'265","74'282"
"Solothurn",,"3.2","4'744","7'309","3.2","4'602","7'260","3","4'420","7'177","2.9","4'281","6'920","2.8","4'074","6'806","2.6","3'860","6'670","2.7","3'900","6'746","2.7","3'953","6'657","2.6","3'801","6'628","0","0","0","2.6","37'635","62'173"
"Basel-Stadt",,"4.2","4'181","5'954","4.1","4'075","5'901","4","3'992","5'814","3.9","3'863","5'608","3.7","3'652","5'454","3.6","3'581","5'380","3.5","3'514","5'301","3.7","3'626","5'373","3.5","3'455","5'168","0","0","0","3.4","33'939","49'953"
"Basel-Landschaft",,"3.1","4'659","6'111","3.1","4'656","6'129","3.1","4'536","6'017","2.9","4'345","5'820","2.9","4'227","5'698","2.8","4'177","5'662","2.8","4'151","5'643","2.8","4'170","5'665","2.8","4'082","5'540","0","0","0","2.6","39'003","52'285"
"Schaffhausen",,"3.6","1'587","2'653","3.7","1'608","2'676","3.5","1'520","2'690","3.3","1'436","2'594","3.3","1'441","2'595","3.2","1'389","2'507","3","1'322","2'365","3","1'309","2'402","3","1'286","2'328","0","0","0","3","12'898","22'810"
"Appenzell Ausserrhoden",,"2","610","978","1.9","592","955","1.8","551","944","1.8","539","940","1.7","534","915","1.7","524","919","1.8","543","915","1.7","519","895","1.7","523","866","0","0","0","1.6","4'935","8'327"
"Appenzell Innerrhoden",,"1.4","129","171","1.3","118","161","1.1","98","133","1","86","118","0.8","72","108","0.9","77","110","0.8","68","103","0.7","67","106","0.7","62","102","0","0","0","0.9","777","1'112"
"St. Gallen",,"2.7","7'597","11'939","2.6","7'334","11'693","2.5","6'983","11'436","2.4","6'685","11'012","2.3","6'383","10'752","2.2","6'060","10'609","2.2","6'054","10'608","2.3","6'321","10'524","2.2","6'127","10'363","0","0","0","2.1","59'544","98'936"
"Graubünden",,"1.9","2'117","3'860","1.7","1'882","3'751","1.5","1'668","3'595","2","2'213","3'719","1.8","1'989","3'390","1.2","1'273","2'671","1","1'084","2'430","0.9","1'046","2'389","1.1","1'166","2'590","0","0","0","1.3","14'438","28'395"
"Aargau",,"3.5","12'622","17'038","3.4","12'551","16'970","3.3","12'098","16'632","3.2","11'628","16'139","3.1","11'306","15'823","3","11'030","15'613","2.9","10'719","15'305","3","10'884","15'340","2.9","10'684","15'145","0","0","0","2.8","103'522","144'005"
"Thurgau",,"2.6","3'967","6'374","2.6","3'936","6'408","2.5","3'721","6'368","2.3","3'422","6'013","2.2","3'262","5'939","2.1","3'090","5'798","2.1","3'126","5'689","2.1","3'224","5'621","2","3'058","5'618","0","0","0","2.1","30'806","53'828"
"Tessin",,"4","6'757","10'419","4","6'623","10'300","3.6","6'106","9'754","3.3","5'566","9'002","3.1","5'274","8'758","3","5'091","8'455","3","4'982","8'295","3.1","5'152","8'507","3.1","5'202","8'675","0","0","0","3","50'753","82'165"
"Waadt",,"5.2","20'672","28'019","5","19'987","27'491","4.8","19'027","26'664","4.6","18'353","25'786","4.4","17'614","25'292","4.2","16'753","24'718","4.3","17'105","24'591","4.4","17'498","24'855","4.3","17'155","24'649","0","0","0","4.1","164'164","232'065"
"Wallis",,"5.2","9'059","12'989","4.6","8'033","12'313","3.9","6'771","10'938","3.7","6'405","9'917","3.3","5'687","8'892","2.9","5'039","8'121","2.9","5'005","7'999","2.9","5'063","8'172","2.8","4'816","8'027","0","0","0","3.2","55'878","87'368"
"Neuenburg",,"6.6","6'052","7'712","6.5","6'014","7'671","6.2","5'707","7'380","5.9","5'414","7'078","5.6","5'136","6'902","5.2","4'772","6'612","5.3","4'852","6'505","5.3","4'864","6'470","5.1","4'738","6'350","0","0","0","5.1","47'549","62'680"
"Genf",,"5.7","13'306","16'984","5.5","12'971","16'669","5.4","12'712","16'444","5.3","12'329","15'960","5.2","12'204","15'895","5.1","12'010","15'761","5.1","12'044","15'547","5.2","12'130","15'603","5.2","12'234","15'497","0","0","0","4.8","111'940","144'360"
"Jura",,"5.3","1'930","2'613","5.2","1'915","2'617","4.9","1'782","2'549","4.7","1'718","2'461","4.4","1'615","2'391","4.3","1'580","2'419","4.4","1'603","2'414","4.7","1'711","2'431","4.4","1'619","2'375","0","0","0","4.2","15'473","22'270"
"Gesamt",,"3.7","164'466","226'861","3.6","159'809","223'627","3.4","152'280","217'248","3.3","146'327","208'357","3.1","139'778","202'419","3","133'603","196'896","3","133'926","195'223","3","135'578","195'334","3","133'169","193'624","0","0","0","2.9","1'298'936","1'859'589"
