2 Arbeitslosenquoten
"Nationalität,""Kanton"",""Monat"",""Januar 2017"",""Februar 2017"",""März 2017"",""April 2017"",""Mai 2017"",""Juni 2017"",""Juli 2017"",""August 2017"",""September 2017"",""Oktober 2017"""
" , ,""Metriken"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"",""Arbeitslosenquote"""
"Ausländer,""Zürich"",,""6.6"",""6.5"",""6.3"",""6"",""5.7"",""5.6"",""5.5"",""5.3"",""5.3"",""0"""
"Ausländer,""Bern"",,""7.5"",""7.4"",""7.1"",""6.8"",""6.2"",""5.7"",""5.5"",""5.5"",""5.5"",""0"""
"Ausländer,""Luzern"",,""5.4"",""5.1"",""4.8"",""4.6"",""4.3"",""4.1"",""3.9"",""3.9"",""3.9"",""0"""
"Ausländer,""Uri"",,""6.9"",""6.4"",""5.8"",""5.3"",""4.1"",""3"",""2.7"",""2.2"",""2.1"",""0"""
"Ausländer,""Schwyz"",,""4.6"",""4.5"",""4.3"",""4"",""3.6"",""3.5"",""3.5"",""3.5"",""3.4"",""0"""
"Ausländer,""Obwalden"",,""3.3"",""3.3"",""3"",""3"",""2.4"",""2.4"",""2.5"",""2"",""2.2"",""0"""
"Ausländer,""Nidwalden"",,""4.1"",""4"",""4.1"",""3.6"",""3.5"",""3.2"",""3"",""3"",""2.9"",""0"""
"Ausländer,""Glarus"",,""5.3"",""5.3"",""5.1"",""4.6"",""4.3"",""3.9"",""3.6"",""3.8"",""3.4"",""0"""
"Ausländer,""Zug"",,""4.5"",""4.5"",""4.4"",""4.3"",""4.2"",""4"",""4"",""3.9"",""3.9"",""0"""
"Ausländer,""Freiburg"",,""7.2"",""6.4"",""5.7"",""5.3"",""4.7"",""4.4"",""4.8"",""5.3"",""5"",""0"""
"Ausländer,""Solothurn"",,""6.9"",""6.7"",""6.3"",""6"",""5.8"",""5.4"",""5.2"",""5.2"",""5"",""0"""
"Ausländer,""Basel-Stadt"",,""6"",""5.9"",""5.6"",""5.3"",""5"",""5"",""4.8"",""4.8"",""4.6"",""0"""
"Ausländer,""Basel-Landschaft"",,""5.8"",""5.8"",""5.7"",""5.3"",""5.1"",""5"",""4.8"",""4.8"",""4.8"",""0"""
"Ausländer,""Schaffhausen"",,""7"",""6.8"",""6.3"",""5.9"",""5.9"",""5.5"",""5.3"",""5.2"",""5.1"",""0"""
"Ausländer,""Appenzell Ausserrhoden"",,""4.4"",""4.2"",""3.8"",""3.9"",""3.7"",""3.6"",""3.8"",""3.4"",""3.4"",""0"""
"Ausländer,""Appenzell Innerrhoden"",,""6.1"",""5.1"",""4.3"",""2.8"",""2.5"",""2.5"",""2.1"",""2.2"",""2"",""0"""
"Ausländer,""St. Gallen"",,""5.7"",""5.5"",""5.2"",""4.9"",""4.6"",""4.4"",""4.4"",""4.5"",""4.3"",""0"""
"Ausländer,""Graubünden"",,""5.5"",""4.8"",""4.2"",""6.1"",""5.2"",""2.6"",""2.1"",""1.9"",""2.3"",""0"""
"Ausländer,""Aargau"",,""7.1"",""7"",""6.7"",""6.4"",""6.1"",""5.9"",""5.6"",""5.7"",""5.6"",""0"""
"Ausländer,""Thurgau"",,""5.4"",""5.4"",""5.1"",""4.5"",""4.2"",""4"",""4.1"",""4"",""3.9"",""0"""
"Ausländer,""Tessin"",,""6.5"",""6.4"",""5.7"",""5"",""4.7"",""4.5"",""4.4"",""4.5"",""4.6"",""0"""
