"Ausländer","Ausländer","Ausländer","Schweizer","Schweizer","Schweizer"
"15-24 Jahre","25-49 Jahre","50 und mehr","15-24 Jahre","25-49 Jahre","50 und mehr"
"Zürich","1'015","8'846","2'250","2'405","8'207","4'502"
"Bern","597","3'316","987","1'406","4'457","2'895"
"Luzern","217","1'053","323","447","1'106","739"
"Uri","6","29","18","9","29","21"
"Schwyz","67","379","171","118","380","340"
"Obwalden","4","47","17","17","31","37"
"Nidwalden","13","60","21","18","63","73"
"Glarus","21","107","56","39","104","89"
"Zug","41","497","179","92","438","296"
"Freiburg","269","1'252","367","414","1'376","788"
"Solothurn","218","930","421","366","1'061","805"
"Basel-Stadt","145","1'305","330","263","957","455"
"Basel-Landschaft","165","1'089","342","359","1'270","857"
"Schaffhausen","82","381","132","144","341","206"
"Appenzell Ausserrhoden","21","108","50","44","151","149"
"Appenzell Innerrhoden","6","10","7","10","14","15"
"St. Gallen","408","1'844","650","638","1'550","1'037"
"Graubünden","53","336","138","141","277","221"
"Aargau","597","3'270","1'105","958","2'792","1'962"
"Thurgau","188","893","394","329","733","521"
"Tessin","231","1'378","694","572","1'472","855"
"Waadt","625","5'987","1'652","1'279","5'203","2'409"
"Wallis","287","1'352","487","459","1'448","783"
"Neuenburg","216","1'353","401","510","1'476","782"
"Genf","297","4'561","1'084","617","4'066","1'609"
"Jura","46","344","115","220","548","346"
"Gesamt","5'835","40'727","12'391","11'874","39'550","22'792"
