unit,sex,age,citizen,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
PC,F,Y15-19,EU15_FOR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: 	: bu	: b	: 	: 	: u	: u	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,BE	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: 	: u	: bu	: u	: 	: 	: b	: u	: b	: u	: u	: u	: u
PC,F,Y15-19,EU15_FOR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,CH	17.6 u	20.9 u	18.6 u	14.4 u	: u	22.0 u	16.1 bu	: u	: u	: u	: u	: bu	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 
PC,F,Y15-19,EU15_FOR,CY	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: bu	: u	: u	: u	: 	: u	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,DE	: u	: u	: u	: u	: u	: bu	: bu	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC,F,Y15-19,EU15_FOR,DK	: bu	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,EA17	28.9 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,EA18	28.9 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
PC,F,Y15-19,EU15_FOR,EA19	28.9 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
