"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2007","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2007","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2007","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2007","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2007","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2007","Belgium","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2007","Bulgaria","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2007","Czech Republic","Total","From 15 to 74 years","Total","Percentage","5.3",""
"2007","Denmark","Total","From 15 to 74 years","Total","Percentage","3.8",""
"2007","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","8.7",""
"2007","Estonia","Total","From 15 to 74 years","Total","Percentage","4.6",""
"2007","Ireland","Total","From 15 to 74 years","Total","Percentage","4.7","b"
"2007","Greece","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2007","Spain","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2007","France","Total","From 15 to 74 years","Total","Percentage","7.7",""
"2007","Croatia","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2007","Italy","Total","From 15 to 74 years","Total","Percentage","6.1",""
"2007","Cyprus","Total","From 15 to 74 years","Total","Percentage","3.9",""
"2007","Latvia","Total","From 15 to 74 years","Total","Percentage","6.1",""
"2007","Lithuania","Total","From 15 to 74 years","Total","Percentage","4.3",""
"2007","Luxembourg","Total","From 15 to 74 years","Total","Percentage","4.1","b"
"2007","Hungary","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2007","Malta","Total","From 15 to 74 years","Total","Percentage","6.5",""
"2007","Netherlands","Total","From 15 to 74 years","Total","Percentage","3.2",""
"2007","Austria","Total","From 15 to 74 years","Total","Percentage","4.9","b"
"2007","Poland","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2007","Portugal","Total","From 15 to 74 years","Total","Percentage","8.1",""
"2007","Romania","Total","From 15 to 74 years","Total","Percentage","6.4",""
"2007","Slovenia","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2007","Slovakia","Total","From 15 to 74 years","Total","Percentage","11.1",""
"2007","Finland","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2007","Sweden","Total","From 15 to 74 years","Total","Percentage","6.2",""
