,PAID,Region,GWNO,CID,Name,DyadName,bwdID,actorId,Inc,pa_name,Year,pa_date ,pa_comment,pa_sign,c_sign,pa_3rd,c_3rd,ended,Duration,c_duration,cease,Intarmy,DDR,Withd,Mil_prov,pp,Intgov,Intciv,Elections,Interrim,Natalks,Shagov,Pol_prov,Aut,Fed,Ind,Ref,Shaloc,Regdev,Cul,Demarcation,Locgov,Terr_prov,Amn,pris,Recon,Return,Justice_prov,Reaffirm,Reaffirm ID,Outlin,PKO,Co_impl,DyVi05,CoVi01,noconf,termdur,noconf11,Comment,txt,Link to fulltext agreement,inclusive,no_dyad ,pa_type,Out_iss ,ProcID,Frame,All,Counter
110,63064519750306,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Joint Iranian-Iraqi Communiqué  (“Algiers Agreement”),1975,1975-03-06,"Partial peace agreement The Joint Iranian-Iraqi Communiqué was signed on 6 March 1975 on the occasion of a meeting of the States members of OPEC (Organization of the Petroleum Exporting Countries) in Algiers, Algeria. The Algerian President Boumediene facilitated talks between the Shah of Iran and Saddam Hussein, Deputy Chairman of the Revolutionary Command Council of Iraq, during the OPEC meeting.
 
The agreement was a partial peace agreement. Iran and Iraq approved general principles for the delineation of the border between Iran and Iraq. The parties further decided on the establishment of a joint commission ""for the purpose of implementing and giving practical expression to the decisions reached.""
 
The parties also agreed on ""undertaking to exercise strict and effective control over the
 frontiers with a view to the complete cessation of all subversive infiltration from either
 side."" This aimed at the intrastate conflicts both Iran and Iraq faced and implied that the governments were to end support to the adversary's domestic opponents.","The Shah of Iran and Saddam Hussein, Deputy Chairman of the Revolutionary Command Council of Iraq.","The agreement was dated 6 March 1975, Algiers, Algeria.",Algeria,"Algeria's President Houari Boumediene facilitated talks between the parties. Iran and Iraq decided that they ""will remain in constant contact with President Boumediene, who will, should the need arise, give Algeria's brotherly assistance in the implementation of the decisions reached."" Algeria would be also invited to all sessions of the mixed commission that was established to implement the decisiosn made.",1,1980-09-17 00:00:00,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,1,0,1,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Iraq%2019750613b.pdf,1,1,2,1,100,1,1,204
111,63064519750317,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Protocol to the Joint Iranian-Iraqi Communiqué (“Tehran Protocol”),1975,1975-03-17,"The protocol was a peace process agreement (agreement outlining a process for regulating or resolving the incompatibility).
 
It established mixed committees in order to ""establish the necessary procedures for effectively implementing the principles and achieving the objectives set forth in the Algiers Agreement, in particular, a Committee to Demarcate the Land Frontier between the two neighbouring Countries a Committee to Delimit the River Frontier between Iran and Iraq.","The protocol was signed by ABBAS-ALI KHALATBARY, Minister for Foreign Affairs of Iran and SAADOUN HAMADI, Minister for Foreign Affairs of Iraq. It was also signed by ABDEL-AZIZ BOUTEFLIKA, Minister for Foreign Affairs, Algeria.","The protocol was signed in Tehran, Iran.",Algeria,"ABDEL-AZIZ BOUTEFLIKA, Minister for Foreign Affairs, Algeria signed the peace agreement.",1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,1,0,1,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,3,1,100,1,1,205
112,63064519750420,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,"Record between Iran, Algeria and Iraq dated 20 April 1975",1975,1975-04-20,"Partial peace agreement. 

With regard to military issues, Iran and Iraq agreed upon how to control the border until the final treaty would be signed between them. 

The record enlarged the Committee to Demarcate the Land Frontier and provided it with more financial support. The record established a Drafting Committee to prepare the texts of a final treaty and adopted the measures specified in the record of the work of the Committee to Demarcate the Land Frontier.","The record was signed by ABBAS-ALI KHALATBARY, Minister for Foreign Affairs of Iran and SAADOUN HAMADI, Minister for Foreign Affairs of Iraq. It was also signed by ABDEL-AZIZ BOUTEFLIKA, Minister for Foreign Affairs, Algeria.","The ministerial record was signed in Algiers, Algeria.",Algeria,"ABDEL-AZIZ BOUTEFLIKA, the Algerian Minister for Foreign Affairs, signed the peace agreement.",1,1980-09-17 00:00:00,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,206
113,63064519750520,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,"Record between Iran, Algeria and Iraq dated 20 May 1975",1975,1975-05-20,"The ministerial record assessed the work of the committees on land frontier. The parties agreed upon how to solve specific minor border issues such as the demarcation of the point where the Turkish, Iranian and Iraqi borders intersect and the status of landed property, constructions, or technical or other installations, whose character may be changed by the demarcation of the land frontier.","The record was signed by ABBAS-ALI KHALATBARY, Minister for Foreign Affairs of Iran and SAADOUN HAMADI, Minister for Foreign Affairs of Iraq. It was also signed by ABDEL-AZIZ BOUTEFLIKA, Minister for Foreign Affairs, Algeria.","The records were signed in Baghdad, Iraq.",Algeria,"ABDEL-AZIZ BOUTEFLIKA, Minister for Foreign Affairs, Algeria signed the peace agreement.",1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,1,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,207
114,63064519750613,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Treaty concerning the State frontier and neighbourly relations,1975,1975-06-13,"Partial peace agreement. 


With the agreement Iran and Iraq agreed upon the delimitation of their common border. 

Details were regulated in two protocols to the agreement, which were signed the same day, namely, the Protocol concerning the redemarcation of the land frontier and the Protocol concerning the delimitation of the river frontier. A third protocol, the Protocol concerning frontier security, focussed on ending Iranian support to Kurdish rebels fighting the Iraqi government.","Abbas Ali Khalatbary, Minister for Foreign Affairs of Iran, and Saadoun Hamadi,
 Minister for Foreign Affairs of Iraq.","The agreement was signed in Baghdad, Iraq.",Algeria,"This Treaty, the three Protocols and the annexes thereto were signed in the presence of Abdel-Aziz Bouteflika, Member of the Council of the Revolution and Minister for Foreign Affairs of Algeria.
 
For the event of a dispute over the interpretation or implementation of the agreement and protocols, the agreement stipulated that the parties were ""to have recourse to the good offices of a friendly third party"" (art 6.3 of this treaty)",1,1980-09-17 00:00:00,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"Article 1. The High Contracting Parties confirm that the State land frontier between Iraq and Iran shall be that which has been redemarcated on the basis of and in accordance with the provisions of the Protocol concerning the redemarcation of the land frontier, and the annexes thereto, attached to this Treaty.
Article 2. The High Contracting Parties confirm that the State frontier in the Shatt al'Arab shall be that which has been delimited on the basis of and in accordance with the provisions of the Protocol concerning the delimitation of the river frontier, and the annexes thereto, attached to this Treaty.
Article 3. The High Contracting Parties undertake to exercise strict and effective permanent control over the frontier in order to put an end to any infiltration of a subversive nature from any source, on the basis of and in accordance with the provisions of the Protocol concerning frontier security, and the annex thereto, attached to this Treaty.
Article 4. The High Contracting Parties confirm that the provisions of the three Protocols, and the annexes thereto, referred to in articles 1, 2 and 3 above and attached to this Treaty as an integral part thereof shall be final and permanent. They shall not be infringed under any circumstances and shall constitute the indivisible elements of an over all settlement. Accordingly, a breach of any of the components of this over-all settlement shall clearly be incompatible with the spirit of the Algiers Agreement.",0,0,1,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Iraq%2019750613a.pdf,1,1,2,1,100,1,1,208
115,63064519751221,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Annex I to the Protocol concerning the Redemarcation of the Land Frontier between Iran and Iraq,1975,1975-12-21,"Partial peace agreement.
 
The ANNEX I TO THE PROTOCOL CONCERNING THE REDEMARCATION OF THE LAND FRONTIER BETWEEN IRAN AND IRAQ described the frontier between Iran and Iraq in detail.","For the Iranian Party Ebrahom Khalvati. For the Iraqi Party, A. SAKKAL.","The agreement was signed in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,209
116,630645197512261,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Addendum to Treaty concerning the State Frontier and neighbourly Relations between Iran and Iraq,1975,1975-12-26,"Partial peace agreement. 
The addendum replaced article 6.5. of the Treaty concerning the State frontier and neighbourly relations between Iran and Iraq, signed at Baghdad on 13 June 1975.
 It detailed a procedure for the event of dispute between the two contracting parties.","The addendum was signed by ABBAS-ALI KHALATBARY, Minister for Foreign Affairs of Iran and SAADOUN HAMADI, Minister for Foreign Affairs of Iraq.","The addendum was signed in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Treaty concerning the State frontier and neighbourly relations,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,210
117,630645197512262,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Agreement between Iran and Iraq concerning Frontier Commissioners,1975,1975-12-26,"The agreement was a partial peace agreement that regulated the crossing of the Iranian-Iraqi border, which was a main conflict issue. 
The agreement was signed by ABBAS-ALI KHALATBARY for Iran and by SAADOUN HAMADI for Iraq in Baghdad, the capital of Iraq. 

It established frontier commissioners' offices in the border zone (15 km on each side of the frontier) between the two countries. The frontier commissioners' offices main task was to monitor and to take necessary measures to prevent crimes and offences in the zone and to prevent the crossing of persons illegally crossing the border. The agreement also established a permanent joint Commission that was to deal with questions which the frontier commissioners had not been able to agree upon.",The agreement was signed by ABBAS-ALI KHALATBARY for Iran and by SAADOUN HAMADI for Iraq.,,,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,1,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226.pdf,1,1,2,1,100,1,1,211
118,630645197512263,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Agreement between Iran and Iraq concerning the Rules governing Navigation on the Shatt Al’Arab,1975,1975-12-26,The agreement was a partial peace agreement. Pursuant to article 8 of the Protocol concerning the delimitation of the river frontier between Iran and Iraq on 13 June 1975 the agreement provided for rules for the navigation on the Shatt Al'Arab. The Shatt Al'Arab was the disputed waterway located on the border between the two countries.,The agreement was signed by by ABBAS-ALI KHALATBARY for Iran and SAADOUN HAMADI for Iran.,"The agreement was signed in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Iraq%2019751226c.pdf,1,1,2,1,100,1,1,212
119,630645197512264,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Record no. 2 between Iran and Iraq  dated 26 December 1975,1975,1975-12-26,"The agreement is a peace process agreement outlining a process for regulating or resolving the incompatibility. 

With the record the parties agreed to draw up by 20 March 1976 at the latest, a definitive list of the questions and mutual claims outstanding.","The agreement was signed by ABBAS-ALI KHALATBARY, Minister for Foreign Affairs of Iran and SAADOUN HAMADI, Minister for Foreign Affairs of Iraq.","The record was signed in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,1,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,213
120,630645197512265,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Record no. 1 between Iran and Iraq dated 26 December 1975,1975,1975-12-26,"In connection with the description of the Iranian-Iraqi land frontier annexed to the Protocol concerning the redemarcation of the land frontier between Iran and Iraq, of 13 June 1975, the record described the course of the border in detail in certain areas as well as the sharing of water between Iran and Iraq of the sources located at the border. It stipulated the erection of more border marks.",The record was signed by General EBRAHIM KHALVATI for Iran and ALLADIN AL-SAKKAL for Iraq.,"The record was signed on 26 December 1975 in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Irak%2019751226a.pdf,1,1,2,1,100,1,1,214
121,630645197512266,2,"630, 645",128,Iran - Iraq,Government of Iran (Persia) - Government of Iraq,543,"630, 645",3,Agreement concerning the Use of Frontier Watercourses,1975,1975-12-26,"The agreement was a partial peace agreement.
 
The agreement regulated the use and division of watercourses which intersect or follow the frontier line between the two countracting parties.",The agreement was signed by by ABBAS-ALI KHALATBARY for Iran and SAADOUN HAMADI for Iran.,"The agreement was signed in Baghdad, Iraq.",,,1,1980-09-17 00:00:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-99,0,0,0,1,0,1,1,0,Active 1974 not 1974-1980 again active 1980,1,http://ucdp.uu.se/downloads/fullpeace/Iran-Iraq%2019751226b.pdf,1,1,2,1,100,2,1,215
