GWNO code,State Name
41,Haiti
70,Mexico
90,Guatemala
92,El Salvador
100,Colombia
130,Ecuador
135,Peru
200,United Kingdom 
343,Macedonia
344,Croatia
345,Yugoslavia
346,Bosnia-Herzegovina 
359,Moldova 
372,Georgia 
404,Guinea-Bissau 
432,Mali
433,Senegal 
435,Mauritania
436,Niger
437,Cote D’Ivoire 
450,Liberia 
451,Sierra Leone 
471,Cameroon 
475,Nigeria 
482,Central African Republic
483,Chad 
484,Congo
490,Congo
500,Uganda 
516,Burundi 
517,Rwanda
520,Somalia
522,Djibouti 
530,Ethiopia
531,Eritrea 
540,Angola 
541,Mozambique
552,Zimbabwe
560,South Africa
581,Comoros
620,Libya
625,Sudan
630,Iran
645,Iraq
666,Israel
678,Yemen
680,Yemen
700,Afghanistan
702,Tajikistan
750,India
771,Bangladesh
811,Cambodia
840,Philippines
850,Indonesia
910,Papua New Guinea 
790,Nepal
