,pp,Intgov,Intciv,Elections,Interrim,Natalks,Shagov,Pol_prov,Aut,Fed,Ind,Ref,Shaloc,Regdev,Cul,Demarcation,Locgov,Terr_prov,combination
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,17537
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,9745
4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,585
5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66560
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,250880
17,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115712
18,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115712
19,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,257024
20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5120
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,73
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
24,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,93737
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,67
26,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3329
27,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,94075
28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
29,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,25857
30,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,126335
31,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99328
32,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,136192
33,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,17537
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
38,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,25609
39,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,68608
40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,5123
41,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,29953
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66560
44,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148480
45,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,216064
46,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,216064
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
49,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
50,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,27648
51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,158720
54,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,101899
55,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,529
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,73
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,9793
62,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,17473
63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
