new_id,old_id,name,type_of_violence
399,462,Government of Bolivia - Popular Revolutionary Movement,1
400,463,Government of Bolivia - MNR,1
401,464,Government of Bolivia - ELN,1
402,654,Government of France - Khmer Issarak,1
403,466,Government of China - PLA,1
404,467,Government of Greece - DSE,1
405,657,Government of Netherlands - Indonesian People's Army,1
406,260,Government of Iran - KDPI,1
407,468,Government of Iran - Republic of Azerbaijan,1
408,665,Government of United Kingdom - IZL [Etzel],1
409,666,Government of France - Lao Issara,1
410,469,Government of Philippines - Huk,1
411,217,Government of Philippines - CPP,1
412,220,"Government of Philippines - Military faction (forces of Honasan, Abenina & Zumel)",1
413,478,Government of Russia (Soviet Union) - Forest Brothers,1
414,481,Government of Russia (Soviet Union) - LNPA,1
415,479,Government of Russia (Soviet Union) - LTS(p)A,1
416,482,Government of Russia (Soviet Union) - BDPS,1
417,483,Government of Russia (Soviet Union) - UPA,1
418,484,Government of France - Government of Thailand,1
419,579,Government of Albania - Government of United Kingdom,1
420,668,Government of France - Viet minh,1
421,580,Government of China - Taiwanese insurgents,1
422,345,Government of India - Government of Pakistan,1
423,669,Government of France - MDRM,1
424,673,"Government of Paraguay - Opposition coalition (Febreristas, Liberals and Communists)",1
425,671,Government of Paraguay - Military faction (forces of Alfredo Stroessner),1
426,474,Government of Paraguay - Military faction (forces of Andres Rodriguez),1
427,790,Government of Myanmar (Burma) - KNUP,1
428,306,Government of Myanmar (Burma) - KNU,1
429,314,Government of Myanmar (Burma) - God's Army,1
430,805,Government of Myanmar (Burma) - DKBA 5,1
431,305,Government of Myanmar (Burma) - CPB,1
432,677,Government of Myanmar (Burma) - CPB-RF,1
433,678,"Government of Myanmar (Burma) - PVO - ""White Band"" faction",1
434,322,Government of Myanmar (Burma) - ABSDF,1
435,799,Government of Myanmar (Burma) - APLP,1
436,800,Government of Myanmar (Burma) - Mujahid Party,1
437,801,Government of Myanmar (Burma) - ANLP,1
438,802,Government of Myanmar (Burma) - CPA,1
439,794,Government of Myanmar (Burma) - RPF,1
440,795,Government of Myanmar (Burma) - ALP,1
441,323,Government of Myanmar (Burma) - ARIF,1
442,312,Government of Myanmar (Burma) - RSO,1
443,683,Government of Myanmar (Burma) - MFL-MUF,1
444,684,Government of Myanmar (Burma) - MPF,1
445,310,Government of Myanmar (Burma) - NMSP,1
446,326,Government of Myanmar (Burma) - BMA,1
447,581,Government of Costa Rica - National Liberation Army,1
448,757,Government of Hyderabad - Government of India,1
449,689,Government of India - CPI,1
450,690,Government of India - CPI-ML,1
451,405,Government of India - PWG,1
452,406,Government of India - MCC,1
453,451,Government of India - CPI-Maoist,1
454,619,"Egypt, Iraq, Jordan, Lebanon, Syria - Government of Israel",1
455,693,Government of United Kingdom - CPM,1
456,615,Government of Yemen (North Yemen) - Opposition coalition,1
457,616,Government of Yemen (North Yemen) - Royalists,1
458,617,Government of Yemen (North Yemen) - NDF,1
459,784,Government of Yemen (North Yemen) - AQAP,1
460,753,Government of Myanmar (Burma) - PNDF,1
