conflictid,location,sidea,sidea2nd,side b,sidebid,sideb2nd,incomp,terr,year,intensity,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,gwnoa,gwnoa2nd,gwnob,gwnob2nd,gwnoloc,region,version
200,Bolivia,Government of Bolivia,,Popular Revolutionary Movement,719,,2,,1946,2,1,3,1946-07-18,1,1946-07-21,2,1,1946-07-21,1,145,,,,145,5,17.1
200,Bolivia,Government of Bolivia,,MNR,720,,2,,1952,1,1,3,1946-07-18,1,1952-04-09,1,1,1952-04-12,1,145,,,,145,5,17.1
200,Bolivia,Government of Bolivia,,ELN,721,,2,,1967,1,1,3,1946-07-18,1,1967-03-31,3,1,1967-10-16,1,145,,,,145,5,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1946,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1947,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1948,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1949,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1950,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1951,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1952,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,17.1
201,Cambodia (Kampuchea),Government of France,,Khmer Issarak,160,,1,Cambodia,1953,1,0,1,1946-08-31,3,1946-08-31,3,1,1953-11-09,1,220,,,,811,3,17.1
202,China,Government of China,,PLA,161,,2,,1946,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,17.1
202,China,Government of China,,PLA,161,,2,,1947,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,17.1
202,China,Government of China,,PLA,161,,2,,1948,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,17.1
202,China,Government of China,,PLA,161,,2,,1949,2,1,3,1946-12-31,7,1946-12-31,7,1,1949-12-08,1,710,,,,710,3,17.1
203,Greece,Government of Greece,,DSE,162,,2,,1946,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,17.1
203,Greece,Government of Greece,,DSE,162,,2,,1947,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,17.1
203,Greece,Government of Greece,,DSE,162,,2,,1948,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,17.1
203,Greece,Government of Greece,,DSE,162,,2,,1949,2,1,3,1946-03-31,4,1946-03-31,4,1,1949-10-16,1,350,,,,350,1,17.1
204,Indonesia,Government of Netherlands,,Indonesian People's Army,163,,1,Indonesia,1946,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,17.1
204,Indonesia,Government of Netherlands,,Indonesian People's Army,163,,1,Indonesia,1947,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,17.1
204,Indonesia,Government of Netherlands,,Indonesian People's Army,163,,1,Indonesia,1948,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,17.1
204,Indonesia,Government of Netherlands,,Indonesian People's Army,163,,1,Indonesia,1949,1,0,1,1945-10-13,2,1946-12-31,5,1,1949-08-15,1,210,,,,850,3,17.1
205,Iran,Government of Iran,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1946,1,0,4,1946-05-31,3,1946-05-31,3,1,1946-12-16,1,630,,,365,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1966,1,1,3,1946-05-31,3,1966-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1967,1,1,3,1946-05-31,3,1966-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1968,1,1,3,1946-05-31,3,1966-12-31,5,1,1968-12-31,5,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1979,2,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
